Datum,Zeit,Team,KW,Heim,Gast,Logo Heim,Logo Gast,home_link,guest_link,Spiel,Spielort,Spielort_URL
22.03.26, 10:30,B,12,SGM ABI,SGM Oedheim Kochertal I,www.fussball.de/export.media/-/action/getLogo/format/0/id/00ES8GNAT8000025VV0AG08LVUPGND5I,www.fussball.de/export.media/-/action/getLogo/format/0/id/00ES8GNB10000004VV0AG08LVUPGND5I,https://www.fussball.de/mannschaft/sgm-tgv-eintracht-beilstein-abstatt-ilsfeld-heinriet-abi-tgv-eintracht-beilstein-wuerttemberg/-/saison/2526/team-id/01OQR89UAC000000VV0AG80NVU94JLT0,https://www.fussball.de/mannschaft/sgm-oedheim-kochertal-i-spvgg-oedheim-wuerttemberg/-/saison/2526/team-id/027I2JJF6O000000VS5489B2VVDR0U48,https://www.fussball.de/spiel/sgm-tgv-eintracht-beilstein-abstatt-ilsfeld-heinriet-abi-sgm-oedheim-kochertal-i/-/spiel/02VKJCLQBG000000VS5489BTVUS4P6QU,,
29.03.26, 10:30,B,13,SV Schluchtern U17,SGM ABI,www.fussball.de/export.media/-/action/getLogo/format/0/id/00ES8GNB1000006IVV0AG08LVUPGND5I,www.fussball.de/export.media/-/action/getLogo/format/0/id/00ES8GNAT8000025VV0AG08LVUPGND5I,https://www.fussball.de/mannschaft/sv-schluchtern-u17-sv-schluchtern-wuerttemberg/-/saison/2526/team-id/01L692FRUG000000VV0AG80NVTB5JGKG,https://www.fussball.de/mannschaft/sgm-tgv-eintracht-beilstein-abstatt-ilsfeld-heinriet-abi-tgv-eintracht-beilstein-wuerttemberg/-/saison/2526/team-id/01OQR89UAC000000VV0AG80NVU94JLT0,https://www.fussball.de/spiel/sv-schluchtern-u17-sgm-tgv-eintracht-beilstein-abstatt-ilsfeld-heinriet-abi/-/spiel/02VKJCLQH0000000VS5489BTVUS4P6QU,,
19.04.26, 10:30,B,16,SGM ABI,SGM Spfr. Lauffen Neckar/​Zabergäu,www.fussball.de/export.media/-/action/getLogo/format/0/id/00ES8GNAT8000025VV0AG08LVUPGND5I,www.fussball.de/export.media/-/action/getLogo/format/0/id/00ES8GNAVO00005IVV0AG08LVUPGND5I,https://www.fussball.de/mannschaft/sgm-tgv-eintracht-beilstein-abstatt-ilsfeld-heinriet-abi-tgv-eintracht-beilstein-wuerttemberg/-/saison/2526/team-id/01OQR89UAC000000VV0AG80NVU94JLT0,https://www.fussball.de/mannschaft/sgm-spfr-lauffen-neckar-zabergaeu-spfr-lauffen-wuerttemberg/-/saison/2526/team-id/01OTNJ47Q4000000VV0AG811VSQ2DN07,https://www.fussball.de/spiel/sgm-tgv-eintracht-beilstein-abstatt-ilsfeld-heinriet-abi-sgm-spfr-lauffen-neckar-zabergaeu/-/spiel/02VKJCLQKS000000VS5489BTVUS4P6QU,,
26.04.26, 10:30,B,17,SV Leingarten,SGM ABI,www.fussball.de/export.media/-/action/getLogo/format/0/id/00ES8GNAVO00005UVV0AG08LVUPGND5I,www.fussball.de/export.media/-/action/getLogo/format/0/id/00ES8GNAT8000025VV0AG08LVUPGND5I,https://www.fussball.de/mannschaft/sv-leingarten-sv-leingarten-wuerttemberg/-/saison/2526/team-id/02MC8H8TUC000000VS5489B2VURM3E5J,https://www.fussball.de/mannschaft/sgm-tgv-eintracht-beilstein-abstatt-ilsfeld-heinriet-abi-tgv-eintracht-beilstein-wuerttemberg/-/saison/2526/team-id/01OQR89UAC000000VV0AG80NVU94JLT0,https://www.fussball.de/spiel/sv-leingarten-sgm-tgv-eintracht-beilstein-abstatt-ilsfeld-heinriet-abi/-/spiel/02VKJCLQNO000000VS5489BTVUS4P6QU,,
03.05.26, 10:30,B,18,SGM ABI,SGM SG Stetten-Kleingartach/​Oberes Leintal I,www.fussball.de/export.media/-/action/getLogo/format/0/id/00ES8GNAT8000025VV0AG08LVUPGND5I,www.fussball.de/export.media/-/action/getLogo/format/0/id/00ES8GNB4O00009SVV0AG08LVUPGND5I,https://www.fussball.de/mannschaft/sgm-tgv-eintracht-beilstein-abstatt-ilsfeld-heinriet-abi-tgv-eintracht-beilstein-wuerttemberg/-/saison/2526/team-id/01OQR89UAC000000VV0AG80NVU94JLT0,https://www.fussball.de/mannschaft/sgm-sg-stetten-kleingartach-oberes-leintal-i-sg-stetten-kleingartach-wuerttemberg/-/saison/2526/team-id/02MDRK0P4S000000VS5489B2VURM3E5J,https://www.fussball.de/spiel/sgm-tgv-eintracht-beilstein-abstatt-ilsfeld-heinriet-abi-sgm-sg-stetten-kleingartach-oberes-leintal-i/-/spiel/02VKJCLQUK000000VS5489BTVUS4P6QU,,
10.05.26, 10:30,B,19,SGM ABI,SG Bad Wimpfen I,www.fussball.de/export.media/-/action/getLogo/format/0/id/00ES8GNAT8000025VV0AG08LVUPGND5I,www.fussball.de/export.media/-/action/getLogo/format/0/id/00ES8GNB3G000007VV0AG08LVUPGND5I,https://www.fussball.de/mannschaft/sgm-tgv-eintracht-beilstein-abstatt-ilsfeld-heinriet-abi-tgv-eintracht-beilstein-wuerttemberg/-/saison/2526/team-id/01OQR89UAC000000VV0AG80NVU94JLT0,https://www.fussball.de/mannschaft/sg-bad-wimpfen-i-sg-bad-wimpfen-wuerttemberg/-/saison/2526/team-id/011MIBO24C000000VTVG0001VTR8C1K7,https://www.fussball.de/spiel/sgm-tgv-eintracht-beilstein-abstatt-ilsfeld-heinriet-abi-sg-bad-wimpfen-i/-/spiel/02VKJCLR3K000000VS5489BTVUS4P6QU,,
17.05.26, 10:30,B,20,SV Heilbronn am Leinbach I,SGM ABI,www.fussball.de/export.media/-/action/getLogo/format/0/id/00ES8GNAUG00006QVV0AG08LVUPGND5I,www.fussball.de/export.media/-/action/getLogo/format/0/id/00ES8GNAT8000025VV0AG08LVUPGND5I,https://www.fussball.de/mannschaft/sv-heilbronn-am-leinbach-i-sv-heilbronn-am-leinbach-1891-wuerttemberg/-/saison/2526/team-id/02M94D32O0000000VS5489B2VUHJA7LU,https://www.fussball.de/mannschaft/sgm-tgv-eintracht-beilstein-abstatt-ilsfeld-heinriet-abi-tgv-eintracht-beilstein-wuerttemberg/-/saison/2526/team-id/01OQR89UAC000000VV0AG80NVU94JLT0,https://www.fussball.de/spiel/sv-heilbronn-am-leinbach-i-sgm-tgv-eintracht-beilstein-abstatt-ilsfeld-heinriet-abi/-/spiel/02VKJCLRA4000000VS5489BTVUS4P6QU,,
20.03.26, 18:30,B-J-innen,12,SGM ABI,Spvgg Oedheim (9er),www.fussball.de/export.media/-/action/getLogo/format/0/id/00ES8GNAVO00002GVV0AG08LVUPGND5I,www.fussball.de/export.media/-/action/getLogo/format/0/id/00ES8GNB10000004VV0AG08LVUPGND5I,https://www.fussball.de/mannschaft/sgm-sc-ilsfeld-beilstein-abstatt-abi-sc-ilsfeld-wuerttemberg/-/saison/2526/team-id/02F0RK819O000000VS5489B2VUBVHUE0,https://www.fussball.de/mannschaft/spvgg-oedheim-9er-spvgg-oedheim-wuerttemberg/-/saison/2526/team-id/02F5M00J5S000000VS5489B2VVCS6SPD,https://www.fussball.de/spiel/sgm-sc-ilsfeld-beilstein-abstatt-abi-spvgg-oedheim-9er/-/spiel/02VPHPOV3C000000VS5489BTVTG66ASV,,
27.03.26, 18:30,B-J-innen,13,TSV Langenbeutingen,SGM ABI,www.fussball.de/export.media/-/action/getLogo/format/0/id/00ES8GNAVO00005CVV0AG08LVUPGND5I,www.fussball.de/export.media/-/action/getLogo/format/0/id/00ES8GNAVO00002GVV0AG08LVUPGND5I,https://www.fussball.de/mannschaft/tsv-langenbeutingen-tsv-langenbeutingen-wuerttemberg/-/saison/2526/team-id/02B11GIKE0000000VS5489B1VULH2T74,https://www.fussball.de/mannschaft/sgm-sc-ilsfeld-beilstein-abstatt-abi-sc-ilsfeld-wuerttemberg/-/saison/2526/team-id/02F0RK819O000000VS5489B2VUBVHUE0,https://www.fussball.de/spiel/tsv-langenbeutingen-sgm-sc-ilsfeld-beilstein-abstatt-abi/-/spiel/02VPHPOV60000000VS5489BTVTG66ASV,,
17.04.26, 18:30,B-J-innen,16,SGM ABI,SGM Spfr Widdern,www.fussball.de/export.media/-/action/getLogo/format/0/id/00ES8GNAVO00002GVV0AG08LVUPGND5I,www.fussball.de/export.media/-/action/getLogo/format/0/id/00ES8GNB28000043VV0AG08LVUPGND5I,https://www.fussball.de/mannschaft/sgm-sc-ilsfeld-beilstein-abstatt-abi-sc-ilsfeld-wuerttemberg/-/saison/2526/team-id/02F0RK819O000000VS5489B2VUBVHUE0,https://www.fussball.de/mannschaft/sgm-spfr-widdern-spfr-widdern-wuerttemberg/-/saison/2526/team-id/02ILQ7RU48000000VS5489B2VVQ9C6A6,https://www.fussball.de/spiel/sgm-sc-ilsfeld-beilstein-abstatt-abi-sgm-spfr-widdern/-/spiel/02VPHPOV7C000000VS5489BTVTG66ASV,,
