"So, 23.04.23 ; 10:30",Sport-Union Neckarsulm II;SGM TGV Eintracht Beilstein/​Abstatt/​Ilsfeld ABI I;Zum Spiel
"So, 30.04.23 ; 10:30",SGM TGV Eintracht Beilstein/​Abstatt/​Ilsfeld ABI I;VfR Heilbronn 96/​18 II;Zum Spiel
"So, 07.05.23 ; 10:30",SGM Dürrenzimmern Unteres Zabergäu;SGM TGV Eintracht Beilstein/​Abstatt/​Ilsfeld ABI I;Zum Spiel
"So, 14.05.23 ; 10:30",SGM TGV Eintracht Beilstein/​Abstatt/​Ilsfeld ABI I;SGM TSV Hardthausen KoBra;Zum Spiel
"So, 21.05.23 ; 10:30",TV Flein;SGM TGV Eintracht Beilstein/​Abstatt/​Ilsfeld ABI I;Zum Spiel
"Mi, 14.06.23 ; 19:00",SGM TGV Eintracht Beilstein/​Abstatt/​Ilsfeld ABI I;Sport-Union Neckarsulm II;Zum Spiel
"So, 18.06.23 ; 10:30",VfR Heilbronn 96/​18 II;SGM TGV Eintracht Beilstein/​Abstatt/​Ilsfeld ABI I;Zum Spiel
